transaction_id,customer_id,amount,currency,payment_method,payment_status,failure_reason,gateway_status,previous_failures,previous_successes,customer_tenure_days,retry_count,timestamp,recoverable,expected_action,actual_recovery,recovered_amount
TXN-POLICY-001,CUST-POLICY-001,12000,INR,upi,failed,temporary_gateway_failure,operational,0,5,300,0,2026-01-01T00:00:00,True,RETRY_PAYMENT,True,12000
TXN-POLICY-002,CUST-POLICY-002,12000,INR,credit_card,failed,temporary_gateway_failure,operational,1,8,500,3,2026-01-01T00:01:00,False,STOP,False,0
TXN-POLICY-003,CUST-POLICY-003,80000,INR,net_banking,failed,temporary_gateway_failure,operational,0,10,700,0,2026-01-01T00:02:00,False,ESCALATE_TO_HUMAN,False,0
TXN-POLICY-004,CUST-POLICY-004,8000,INR,credit_card,failed,card_declined,operational,2,4,200,2,2026-01-01T00:03:00,False,ESCALATE_TO_HUMAN,False,0
TXN-POLICY-005,CUST-POLICY-005,80000,INR,upi,failed,temporary_gateway_failure,operational,3,6,900,3,2026-01-01T00:04:00,False,STOP,False,0
TXN-00001,CUST-0217,500,INR,debit_card,failed,card_declined,operational,5,17,179,2,2026-01-27T20:58:00,False,ESCALATE_TO_HUMAN,False,0
TXN-00002,CUST-0360,500,INR,debit_card,failed,temporary_gateway_failure,operational,4,6,1467,1,2026-01-30T13:50:00,True,RETRY_PAYMENT,True,500
TXN-00003,CUST-0080,2500,INR,upi,failed,expired_card,operational,1,13,697,0,2026-01-13T15:30:00,False,ESCALATE_TO_HUMAN,False,0
TXN-00004,CUST-0374,2500,INR,credit_card,failed,card_declined,operational,2,19,542,0,2026-01-02T23:27:00,False,ESCALATE_TO_HUMAN,False,0
TXN-00005,CUST-0296,7500,INR,net_banking,failed,temporary_gateway_failure,operational,5,19,1814,0,2026-01-17T11:00:00,True,RETRY_PAYMENT,True,7500
TXN-00006,CUST-0233,500,INR,debit_card,failed,invalid_payment_method,operational,1,3,779,5,2026-01-13T15:37:00,False,STOP,False,0
TXN-00007,CUST-0326,7500,INR,debit_card,failed,card_declined,operational,2,20,147,0,2026-01-28T17:20:00,False,ESCALATE_TO_HUMAN,False,0
TXN-00008,CUST-0432,500,INR,debit_card,failed,invalid_payment_method,operational,5,17,450,0,2026-01-15T18:12:00,False,ESCALATE_TO_HUMAN,False,0
TXN-00009,CUST-0468,15000,INR,debit_card,failed,temporary_gateway_failure,operational,3,8,136,2,2026-01-10T14:26:00,True,RETRY_PAYMENT,False,0
TXN-00010,CUST-0072,30000,INR,debit_card,failed,card_declined,operational,5,14,293,0,2026-01-13T01:19:00,False,ESCALATE_TO_HUMAN,False,0
TXN-00011,CUST-0071,2500,INR,upi,failed,expired_card,operational,4,12,742,0,2026-01-10T23:33:00,False,ESCALATE_TO_HUMAN,False,0
TXN-00012,CUST-0198,7500,INR,credit_card,failed,temporary_gateway_failure,operational,1,13,1222,0,2026-01-03T21:23:00,True,RETRY_PAYMENT,True,7500
TXN-00013,CUST-0385,150000,INR,upi,failed,expired_card,degraded,0,3,1397,3,2026-01-25T10:30:00,False,STOP,False,0
TXN-00014,CUST-0498,2500,INR,upi,failed,invalid_payment_method,operational,3,0,1954,0,2026-01-12T23:41:00,False,ESCALATE_TO_HUMAN,False,0
TXN-00015,CUST-0079,7500,INR,credit_card,failed,gateway_timeout,operational,5,16,1248,0,2026-01-10T01:15:00,True,RETRY_PAYMENT,True,7500
TXN-00016,CUST-0123,500,INR,credit_card,failed,expired_card,operational,0,11,1800,1,2026-01-14T23:53:00,False,ESCALATE_TO_HUMAN,False,0
