transaction_id,customer_id,amount,currency,payment_method,payment_status,failure_reason,gateway_status,previous_failures,previous_successes,customer_tenure_days,retry_count,timestamp,recoverable,expected_action,actual_recovery,recovered_amount
TXN-POLICY-001,CUST-POLICY-001,12000,INR,upi,failed,temporary_gateway_failure,operational,0,5,300,0,2026-01-01T00:00:00,True,RETRY_PAYMENT,True,12000
TXN-POLICY-002,CUST-POLICY-002,12000,INR,credit_card,failed,temporary_gateway_failure,operational,1,8,500,3,2026-01-01T00:01:00,False,STOP,False,0
TXN-POLICY-003,CUST-POLICY-003,80000,INR,net_banking,failed,temporary_gateway_failure,operational,0,10,700,0,2026-01-01T00:02:00,False,ESCALATE_TO_HUMAN,False,0
TXN-POLICY-004,CUST-POLICY-004,8000,INR,credit_card,failed,card_declined,operational,2,4,200,2,2026-01-01T00:03:00,False,ESCALATE_TO_HUMAN,False,0
TXN-POLICY-005,CUST-POLICY-005,80000,INR,upi,failed,temporary_gateway_failure,operational,3,6,900,3,2026-01-01T00:04:00,False,STOP,False,0
TXN-00001,CUST-0045,500,INR,debit_card,failed,card_declined,operational,5,3,1386,1,2026-01-25T19:41:00,False,ESCALATE_TO_HUMAN,False,0
TXN-00002,CUST-0288,7500,INR,credit_card,failed,temporary_gateway_failure,operational,1,16,1233,1,2026-01-02T04:59:00,True,RETRY_PAYMENT,True,7500
TXN-00003,CUST-0389,7500,INR,net_banking,failed,expired_card,operational,4,8,1658,3,2026-01-01T07:05:00,False,STOP,False,0
TXN-00004,CUST-0053,30000,INR,net_banking,failed,invalid_payment_method,degraded,1,6,1961,2,2026-01-16T07:39:00,False,ESCALATE_TO_HUMAN,False,0
TXN-00005,CUST-0275,500,INR,upi,failed,temporary_gateway_failure,degraded,2,1,1495,4,2026-01-21T21:48:00,False,STOP,False,0
TXN-00006,CUST-0296,500,INR,credit_card,failed,insufficient_funds,down,5,19,1814,2,2026-01-17T11:00:00,False,ESCALATE_TO_HUMAN,False,0
TXN-00007,CUST-0444,500,INR,credit_card,failed,temporary_gateway_failure,down,2,2,1752,1,2026-01-11T14:16:00,False,ESCALATE_TO_HUMAN,False,0
TXN-00008,CUST-0344,500,INR,net_banking,failed,card_declined,down,1,11,728,2,2026-01-10T12:50:00,False,ESCALATE_TO_HUMAN,False,0
TXN-00009,CUST-0084,2500,INR,credit_card,failed,invalid_payment_method,down,1,17,1494,5,2026-01-12T03:23:00,False,STOP,False,0
TXN-00010,CUST-0413,7500,INR,debit_card,failed,card_declined,down,0,7,1684,2,2026-01-02T11:03:00,False,ESCALATE_TO_HUMAN,False,0
TXN-00011,CUST-0256,2500,INR,credit_card,failed,card_declined,operational,5,10,436,4,2026-01-30T19:54:00,False,STOP,False,0
TXN-00012,CUST-0276,2500,INR,net_banking,failed,invalid_payment_method,operational,1,7,1526,2,2026-01-26T13:09:00,False,ESCALATE_TO_HUMAN,False,0
TXN-00013,CUST-0253,2500,INR,net_banking,failed,expired_card,down,2,7,284,3,2026-01-24T04:32:00,False,STOP,False,0
TXN-00014,CUST-0198,500,INR,credit_card,failed,temporary_gateway_failure,operational,1,13,1222,5,2026-01-03T21:23:00,False,STOP,False,0
TXN-00015,CUST-0385,2500,INR,upi,failed,insufficient_funds,down,5,3,1397,0,2026-01-25T10:30:00,False,ESCALATE_TO_HUMAN,False,0
